STATION,NAME,DATE,PRCP,SNWD,TMAX,TMIN
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-02,0.00,0.0,77,61
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-03,0.00,0.0,73,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-04,0.00,0.0,70,44
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-05,0.00,0.0,72,47
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-06,0.00,0.0,79,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-07,0.00,0.0,75,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-08,0.00,0.0,80,41
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-09,0.00,0.0,83,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-10,0.04,0.0,80,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-11,0.08,0.0,82,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-12,0.00,0.0,85,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-13,0.00,0.0,90,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-14,0.00,0.0,80,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-15,0.00,0.0,77,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-16,0.00,0.0,77,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-17,0.00,0.0,73,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-18,0.00,0.0,74,47
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-19,0.00,0.0,81,49
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-20,0.00,0.0,79,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-21,0.00,0.0,83,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-22,0.03,0.0,79,66
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-23,0.00,0.0,84,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-24,0.00,0.0,81,63
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-25,0.00,0.0,79,57
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-26,0.00,0.0,79,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-27,0.00,0.0,84,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-28,0.00,0.0,94,70
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-29,0.00,0.0,96,68
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-30,0.00,0.0,97,68
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-03-31,0.00,0.0,99,65
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-01,0.00,0.0,97,66
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-02,0.00,0.0,90,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-03,0.00,0.0,93,72
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-04,0.00,0.0,95,61
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-05,0.00,0.0,96,70
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-06,0.00,0.0,98,76
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-07,0.00,0.0,100,77
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-08,0.00,0.0,96,65
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-09,0.00,0.0,97,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-10,0.00,0.0,104,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-11,0.00,0.0,103,80
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-12,0.00,0.0,83,67
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-13,0.00,0.0,86,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-14,0.00,0.0,91,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-15,0.00,0.0,95,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-16,0.00,0.0,82,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-17,0.00,0.0,79,54
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-18,0.00,0.0,87,54
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-19,0.00,0.0,78,62
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-20,0.00,0.0,95,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-21,0.00,0.0,99,67
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-22,0.00,0.0,103,68
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-23,0.00,0.0,104,76
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-24,0.00,0.0,105,73
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-25,0.00,0.0,106,70
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-26,0.00,0.0,108,73
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-27,0.00,0.0,104,80
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-28,0.00,0.0,95,70
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-29,0.00,0.0,95,71
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-04-30,0.00,0.0,85,65
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-01,0.00,0.0,84,60
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-02,0.00,0.0,82,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-03,0.00,0.0,97,63
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-04,0.00,0.0,102,66
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-05,0.00,0.0,105,72
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-06,0.00,0.0,110,77
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-07,0.00,0.0,108,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-08,0.00,0.0,109,77
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-09,0.00,0.0,116,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-10,0.00,0.0,107,79
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-11,0.00,0.0,104,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-12,0.00,0.0,94,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-13,0.00,0.0,95,71
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-14,0.00,0.0,97,74
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-15,0.00,0.0,100,72
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-16,0.00,0.0,101,79
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-17,0.00,0.0,97,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-18,0.00,0.0,102,75
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-19,0.00,0.0,105,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-20,0.00,0.0,103,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-21,0.00,0.0,97,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-22,0.00,0.0,100,76
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-23,0.00,0.0,103,80
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-24,0.00,0.0,104,83
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-25,0.00,0.0,95,75
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-26,0.00,0.0,94,70
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-27,0.00,0.0,102,74
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-28,0.00,0.0,108,79
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-29,0.00,0.0,111,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-30,0.00,0.0,110,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-05-31,0.00,0.0,101,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-01,0.00,0.0,107,71
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-02,0.00,0.0,113,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-03,0.00,0.0,118,79
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-04,0.00,0.0,117,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-05,0.00,0.0,114,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-06,0.00,0.0,109,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-07,0.00,0.0,109,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-08,0.00,0.0,111,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-09,0.00,0.0,113,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-10,0.00,0.0,106,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-11,0.00,0.0,113,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-12,0.00,0.0,117,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-13,0.00,0.0,119,95
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-14,0.00,0.0,117,90
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-15,0.00,0.0,112,92
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-16,0.00,0.0,107,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-17,0.00,0.0,101,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-18,0.00,0.0,103,75
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-19,0.00,0.0,111,79
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-20,0.00,0.0,118,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-21,0.00,0.0,126,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-22,0.00,0.0,121,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-23,0.00,0.0,120,92
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-24,0.00,0.0,119,92
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-25,0.00,0.0,121,97
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-26,0.00,0.0,120,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-27,0.00,0.0,117,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-28,0.00,0.0,116,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-29,0.00,0.0,111,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-06-30,0.00,0.0,118,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-01,0.00,0.0,118,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-02,0.00,0.0,119,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-03,0.00,0.0,117,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-04,0.00,0.0,113,90
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-05,0.00,0.0,117,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-06,0.00,0.0,121,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-07,0.00,0.0,121,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-08,0.00,0.0,126,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-09,0.03,0.0,121,103
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-10,0.01,0.0,114,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-11,0.00,0.0,113,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-12,0.01,0.0,115,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-13,0.00,0.0,114,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-14,0.00,0.0,120,97
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-15,0.00,0.0,120,99
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-16,0.00,0.0,124,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-17,0.00,0.0,123,102
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-18,0.00,0.0,120,103
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-19,0.00,0.0,121,101
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-20,0.00,0.0,120,93
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-21,0.00,0.0,115,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-22,0.00,0.0,120,93
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-23,0.00,0.0,125,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-24,0.00,0.0,127,95
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-25,0.00,0.0,127,102
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-26,0.00,0.0,127,100
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-27,0.00,0.0,127,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-28,0.00,0.0,124,101
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-29,0.00,0.0,124,100
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-30,0.00,0.0,123,103
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-07-31,0.00,0.0,121,103
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-01,0.00,0.0,120,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-02,0.00,0.0,121,97
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-03,0.00,0.0,120,98
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-04,0.00,0.0,119,97
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-05,0.00,0.0,117,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-06,0.00,0.0,119,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-07,0.00,0.0,121,80
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-08,0.00,0.0,122,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-09,0.00,0.0,122,90
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-10,0.00,0.0,119,98
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-11,0.00,0.0,119,97
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-12,0.00,0.0,112,93
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-13,0.00,0.0,117,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-14,0.00,0.0,118,95
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-15,0.00,0.0,117,95
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-16,0.00,0.0,117,95
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-17,0.00,0.0,116,93
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-18,0.00,0.0,119,97
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-19,0.00,0.0,122,92
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-20,0.00,0.0,119,99
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-21,0.00,0.0,117,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-22,0.00,0.0,115,92
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-23,0.00,0.0,115,91
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-24,0.00,0.0,113,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-25,0.00,0.0,113,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-26,0.00,0.0,114,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-27,0.00,0.0,111,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-28,0.00,0.0,109,83
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-29,0.00,0.0,112,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-30,0.00,0.0,113,91
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-08-31,0.00,0.0,109,83
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-01,0.00,0.0,113,83
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-02,0.00,0.0,113,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-03,0.00,0.0,113,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-04,0.00,0.0,112,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-05,0.00,0.0,110,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-06,0.00,0.0,114,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-07,0.00,0.0,115,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-08,0.00,0.0,120,83
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-09,0.00,0.0,116,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-10,0.00,0.0,111,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-11,0.00,0.0,109,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-12,0.00,0.0,110,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-13,0.00,0.0,107,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-14,0.00,0.0,109,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-15,0.00,0.0,107,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-16,0.00,0.0,109,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-17,0.00,0.0,108,76
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-18,0.00,0.0,106,74
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-19,0.00,0.0,108,71
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-20,0.00,0.0,107,77
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-21,0.00,0.0,109,71
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-22,0.00,0.0,110,74
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-23,0.00,0.0,111,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-24,0.00,0.0,108,77
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-25,0.00,0.0,111,79
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-26,0.00,0.0,109,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-27,0.00,0.0,110,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-28,0.00,0.0,110,70
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-29,0.00,0.0,105,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-09-30,0.00,0.0,103,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-01,0.00,0.0,104,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-02,0.00,0.0,101,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-03,0.00,0.0,96,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-04,0.00,0.0,93,75
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-05,0.00,0.0,95,73
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-06,0.07,0.0,94,73
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-07,0.00,0.0,87,72
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-08,0.00,0.0,93,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-09,0.00,0.0,92,63
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-10,0.00,0.0,91,68
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2018-10-11,0.00,0.0,91,70
